French,English
partie,part
histoire,history
chercher,search
seulement,only
police,police
pensais,thought
aide,help
genre,kind
mois,month
frère,brother
laisser,let
car,because
laisse,leash
ville,city
parlé,speak
longtemps,long time
heures,hours
vont,will
revoir,meet again
parle,speak
attention,Warning
voici,here is
affaire,case
donner,give
leurs,their
donné,given
corps,body
endroit,place
yeux,eyes
dont,whose
trouve,find
premier,first
première,first
côté,side
pouvoir,power
sois,be
tiens,here
matin,morning
venu,came
suite,after
pardon,sorry
vers,towards
demandé,request
aimerais,would like to
mari,husband
espère,hope
eau,water
parti,left
nouvelle,new
dirait,would say
donne,given
loin,far
fin,end
croire,believe
chérie,sweetheart
aura,will have
filles,girls
jouer,to play
bureau,office
